Task ID,Completed,golden_action,instruction,token_total,failure_reason,actual_actions,golden_actions_count,actual_actions_count
ai2thor04243,false,,"I am tired from reading. Please close the book, then turn off the light switch and the desk lamp.",,Reached max steps before task completion,RotateLeft | RotateLeft | RotateLeft | RotateRight | RotateLeft | LookDown | MoveAhead(Medium) | CloseObject(Book) | RotateLeft | MoveAhead(Small) | RotateLeft | CloseObject(Book) | RotateLeft | RotateRight | MoveAhead(Small) | ToggleObjectOff(DeskLamp) | MoveLeft | MoveAhead(Small) | MoveLeft | ToggleObjectOff(DeskLamp) | MoveLeft(Small) | ToggleObjectOff(DeskLamp) | LookDown | LookUp | RotateLeft | ToggleObjectOff(DeskLamp) | LookUp | MoveAhead(Small) | RotateLeft | ToggleObjectOff(DeskLamp),5,30
ai2thor05007,false,,"It's time to power down, so please turn off the desk lamp and confirm it's really off and then pick up the book and place it on the bed.",,Reached max steps before task completion,ToggleObjectOff(DeskLamp) | ToggleObjectOff(DeskLamp) | MoveAhead(Small) | PickupObject(Book) | ToggleObjectOff(DeskLamp) | RotateRight | MoveAhead(Small) | RotateLeft | ToggleObjectOff(DeskLamp) | PickupObject(Book) | MoveRight(Small) | MoveRight(Small) | RotateLeft | PickupObject(Book) | RotateLeft | PickupObject(Book) | Pass() | MoveAhead(Small) | PickupObject(Book) | RotateRight | RotateLeft | PickupObject(Book) | MoveBack(Small) | PickupObject(Book),5,24
ai2thor05022,false,,"I need to tidy up, so please tidy up the bed by clearing any clutter and wiping it until it looks clean and then turn on the laptop and wait until you can tell it's powered on.",,Reached max steps before task completion,RotateRight | RotateRight | RotateRight | MoveAhead(Medium) | MoveAhead(Medium) | MoveAhead(Medium) | PickupObject(Pillow) | RotateRight | MoveAhead(Small) | PickupObject(Pillow) | MoveAhead(Small) | MoveAhead(Medium) | PickupObject(Pillow) | Pass() | LookDown | PickupObject(Pillow) | MoveLeft(Small) | PickupObject(Pillow) | MoveAhead(Small) | PickupObject(Pillow) | RotateLeft,4,21
ai2thor05026,false,,"I'm doing some chores, so please put the laptop on the desk, then tidy up the bed and wiping it until it looks clean.",,Reached max steps before task completion,RotateRight | RotateRight | RotateRight | RotateRight | MoveAhead(Medium) | MoveAhead(Medium) | MoveLeft(Medium) | Pass() | MoveRight(Medium) | LookDown | MoveBack(Small) | MoveLeft(Large) | MoveLeft(Small) | RotateLeft | RotateRight | MoveLeft(Large) | RotateLeft | RotateRight,4,18
ai2thor05033,false,,"I'm preparing the scene, so please in the simulation, make the mirror dirty so its state changes to 'dirty' and then fill the mug with water until it shows it's filled, then keep it steady.",,Reached max steps before task completion,"RotateRight | RotateLeft | RotateRight | RotateLeft | RotateRight | RotateLeft | RotateLeft | RotateLeft | RotateLeft | MoveAhead(Medium) | RotateLeft | MoveRight(Medium) | MoveBack(Medium) | RotateRight | DirtyObject(Mirror) | MoveAhead(Medium) | MoveAhead(Medium) | Pass() | DirtyObject(Mirror) | RotateRight | FillObjectWithLiquid(Mug, water) | MoveAhead(Medium)",3,22
ai2thor05041,true,,"To start the research, please power on the cell phone and open the book for me.",,,MoveLeft(Small) | RotateRight | ToggleObjectOn(CellPhone) | RotateRight | MoveAhead(Small) | MoveAhead(Medium) | ToggleObjectOn(CellPhone) | MoveRight | OpenObject(Book) | Pass() | RotateLeft | RotateRight | MoveLeft(Small) | OpenObject(Book) | DONE,2,15
ai2thor05063,false,,"The pot looks a bit dusty, so clean the pot and slice the tomato for the soup.",,Reached max steps before task completion,RotateRight | MoveAhead(Small) | CleanObject(Pot) | SliceObject(Tomato) | MoveAhead(Medium) | MoveAhead(Small) | CleanObject(Pot) | SliceObject(Tomato) | RotateLeft | MoveAhead(Small) | MoveAhead(Large) | SliceObject(Tomato) | LookDown | MoveAhead(Small) | SliceObject(Tomato) | Pass() | MoveLeft(Medium) | MoveBack(Small) | MoveLeft(Medium) | MoveLeft(Small),2,20
ai2thor05066,true,,"I'm ready to start the stew, so please pick up the pot for me.",,,RotateRight | RotateLeft | PickupObject(Pot) | OpenObject(Door) | MoveAhead(Small) | RotateRight | PickupObject(Pot) | MoveAhead(Medium) | DONE,2,9
ai2thor05079,false,,"I'm starting breakfast now, so please turn on the coffee machine for me.",,Model claimed DONE but success conditions were not met,RotateRight | RotateRight | MoveAhead(Medium) | MoveAhead(Medium) | RotateRight | RotateRight | RotateRight | ToggleObjectOn(CoffeeMachine) | MoveAhead(Medium) | MoveAhead(Medium) | RotateRight | ToggleObjectOn(CoffeeMachine) | RotateLeft | MoveAhead(Medium) | MoveRight(Medium) | ToggleObjectOn(CoffeeMachine) | RotateRight | RotateRight | RotateLeft | RotateLeft | RotateLeft | RotateRight | DONE | DONE,3,24
ai2thor05506,false,,I want to combine my workout with some housework—could you pick up the tennis racket in the corner and give the bed a quick clean?,,Reached max steps before task completion,PickupObject(TennisRacket) | RotateRight | MoveAhead(Small) | MoveAhead(Medium) | PickupObject(TennisRacket) | MoveRight | MoveAhead(Small) | RotateRight | PickupObject(TennisRacket) | Pass() | MoveLeft(Small) | MoveAhead(Small) | MoveRight(Small) | PickupObject(TennisRacket) | MoveAhead(Small) | PickupObject(TennisRacket) | MoveLeft(Small) | MoveAhead(Small),3,18
ai2thor05508,false,,"It's such a lovely day; I feel like tidying up my bed. First I'll pick up my pillow, then give the whole bed a good clean—so I can sleep nice and sound tonight.",,Reached max steps before task completion,PickupObject(Pillow) | Pass() | MoveAhead(Small) | PickupObject(Pillow) | MoveAhead(Small) | MoveRight(Small) | PickupObject(Pillow) | MoveBack(Small) | PickupObject(Pillow) | LookDown | MoveAhead(Small) | PickupObject(Pillow) | MoveBack(Small),2,13
ai2thor05509,true,,I'd like to take a nap. Could you tidy the bed and turn off the wall light for me? Thank you.,,,RotateRight | CleanObject(Bed) | ToggleObjectOff(LightSwitch) | CleanObject(Bed) | MoveAhead(Medium) | Pass() | ToggleObjectOff(LightSwitch) | MoveAhead(Small) | ToggleObjectOff(LightSwitch) | RotateLeft | DONE,3,11
ai2thor05512,false,,"I'd like to read the book on my desk before bed. Please tidy up the bed first, then bring the book and place it on the bed for me.",,Reached max steps before task completion,CleanObject(Bed) | RotateLeft(90) | Pass() | RotateRight(90) | MoveLeft(Medium) | PickupObject(Book) | MoveLeft(Medium) | PickupObject(Book) | MoveLeft(Medium) | PickupObject(Book) | MoveAhead(Medium) | PickupObject(Book) | MoveLeft(Small) | PickupObject(Book) | MoveAhead(Small) | PickupObject(Book),4,16
ai2thor05515,true,,I feel like taking a break; I'm going to pick up my phone from the desk and turn on the TV so I can really unwind,,,MoveAhead(Small) | RotateRight | PickupObject(CellPhone) | ToggleObjectOn(Television) | MoveRight(Small) | MoveAhead(Medium) | PickupObject(CellPhone) | ToggleObjectOn(Television) | RotateRight | DONE,3,10
ai2thor05517,false,,"I just woke up and I’m ready to get to work—you help me tidy the bed first, then use the laptop to start working and get it booted up.",,Model claimed DONE but success conditions were not met,MoveAhead(Medium) | MoveAhead(Medium) | MoveLeft(Medium) | PushObject(Bed) | PushObject(Bed) | PushObject(Bed) | PushObject(Bed) | PushObject(Bed) | MoveAhead(Medium) | MoveLeft(Medium) | MoveLeft(Medium) | MoveRight(Medium) | MoveAhead(Medium) | MoveAhead(Medium) | RotateLeft(Medium) | MoveLeft(Medium) | MoveRight(Small) | MoveAhead(Medium) | MoveAhead(Small) | MoveBack(Medium) | MoveRight(Small) | MoveLeft(Medium) | ToggleObjectOn(Laptop) | DONE,2,24
ai2thor05528,false,,I'd like to work and watch TV at the same time. Could you please help me turn on the laptop and then the TV?,,communication / pass action,MoveAhead(Small) | RotateRight | ToggleObjectOn(Laptop) | RotateRight | MoveLeft(Small) | MoveAhead(Medium) | ToggleObjectOn(Laptop) | Pass() | MoveAhead(Small) | ToggleObjectOn(Laptop) | MoveLeft(Small) | ToggleObjectOn(Laptop) | MoveAhead(Medium) | ToggleObjectOn(Laptop) | MoveAhead(Small) | ToggleObjectOn(Laptop) | Pass(),3,17
ai2thor05533,false,,"The sunlight is so bright today—there's no need for the big wall light in the room, so go ahead and switch it off. Just turn on the floor lamp next to the sofa instead.",,Reached max steps before task completion,RotateRight | RotateRight | MoveAhead(Medium) | RotateRight | ToggleObjectOn(FloorLamp) | MoveAhead(Medium) | RotateRight | RotateLeft | MoveAhead(Medium) | RotateRight | RotateRight | ToggleObjectOff(LightSwitch) | RotateRight | MoveAhead(Medium) | RotateLeft | ToggleObjectOff(LightSwitch) | ToggleObjectOn(FloorLamp) | MoveAhead(Medium) | MoveAhead(Medium) | ToggleObjectOff(LightSwitch) | MoveRight(Small) | MoveAhead(Medium) | ToggleObjectOn(FloorLamp) | ToggleObjectOff(LightSwitch) | RotateRight | MoveAhead(Medium) | RotateLeft | ToggleObjectOff(LightSwitch),4,28
ai2thor05540,false,,I'm getting ready to head out—please water the potted plant on the table and then turn off the wall light.,,Model claimed DONE but success conditions were not met,"FillObjectWithLiquid(HousePlant, water) | RotateRight | RotateRight | ToggleObjectOff(LightSwitch) | ToggleObjectOff(LightSwitch) | MoveAhead(Large) | MoveAhead(Large) | MoveRight | ToggleObjectOff(LightSwitch) | ToggleObjectOff(LightSwitch) | MoveAhead(Medium) | MoveAhead(Medium) | DONE | DONE",3,14
ai2thor05545,false,,"I want to wash my face—please pick up the soap bottle, turn on the faucet, and then put it back on the side table where it was.",,Reached max steps before task completion,PickupObject(SoapBottle) | RotateRight | MoveRight(Small) | RotateRight | PickupObject(SoapBottle) | MoveAhead(Small) | MoveAhead(Small) | Pass() | MoveRight(Small) | PickupObject(SoapBottle) | MoveAhead(Small) | PickupObject(SoapBottle) | LookDown | PickupObject(SoapBottle) | MoveAhead(Small) | PickupObject(SoapBottle) | MoveRight(Small),3,17
